"nr";"memo";"materiaal";"bijzonderheden";"omschrijving";"korte_omschrijving";"aub";"hoofd_aanvraag";"soort";"groep";"selectie";"versie_opname";"versie_mutatie";"versie_vervallen";"toelichting";"vraag_type";"decimalen";"eenheid";"abs_min";"abs_max";"ref_min";"ref_max";"antwoordenlijst";"formule";"materiaal_info";"bijzonderheden_info";"aub_info";"groep_info";"formule_uitleg"
483;"HSVM";"B";"";"Herpes simplex virus IgM";"HSV IgM";"B";"";"L";"IM";"4";3;20;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"bloed";NA;"Beide";"immunologie/serologie";NA
3128;"HSVM";"B";"T1";"Herpes simplex virus IgM (1e mnstr,gprd)";"HSV IgM1e";"B";"";"L";"IM";"4";16;20;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"bloed";"tijdstip 1";"Beide";"immunologie/serologie";NA
3127;"HSVM";"B";"KW";"Herpes simplex virus IgM kwantitatief";"HSV IgMkw";"B";"";"L";"IM";"4";16;20;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"bloed";"kwantitatief";"Beide";"immunologie/serologie";NA
2162;"HSV1";"XC";"";"Herpes simplex virus type 1 Ag. cervix";"HSV1AgCer";"B";"";"L";"IM";"3";9;38;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"cervicaalsecreet";NA;"Beide";"immunologie/serologie";NA
2163;"HSV2";"XC";"";"Herpes simplex virus type 2 Ag. cervix";"HSV2AgCer";"B";"";"L";"IM";"3";9;38;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"cervicaalsecreet";NA;"Beide";"immunologie/serologie";NA
1873;"OMVA";"LH";"";"heupomvang";"heupomvan";"B";"";"D";"BM";"2";7;NA;NA;NA;"NM";0;"cm";0;500;NA;NA;"";NA;"heup";NA;"Beide";"biometrie";NA
2753;"HXPF";"U";"MI";"hexaporfyrinen urine per creatinine";"hexap/cr";"B";"";"L";"KC";"4";13;30;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"urine";"meting: index, quotiënt, ratio";"Beide";"klinische chemie";NA
2821;"HHB";"BA";"";"HHb fractie (bloedgasanalyse)";"HHb fract";"U";"BGAS";"L";"KC";"U";14;NA;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"bloed arterieel";NA;"Uitslag";"klinische chemie";NA
3297;"HTNT";"B";"";"high sensitive troponine-T (hs-TNT)";"hs-trop-T";"B";"";"L";"KC";"3";18;NA;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"bloed";NA;"Beide";"klinische chemie";NA
1610;"ASLA";"RQ";"";"hinder en beperkingen astma/COPD";"";"B";"";"P";"AA";"4";7;11;NA;"Vraag naar invloed van de klachten op functioneren op school of werk, andere dagelijkse bezigheden en nachtrust. Hinder en beperkingen kunnen ook worden vastgelegd via een gestandaardiseerde vragenlijst (RIQ of CCQ).";"EK";NA;"";NA;NA;NA;1;"48 - nee/ja/onduidelijk";NA;"luchtwegen, anamnese/plan";NA;"Beide";"anamnese";NA
4038;"HIME";"RL";"";"histamine/metacholine provocatietest";"HisMetPrv";"B";"";"D";"FO";"2";37;NA;NA;"De histamine of metacholine provocatietest bepaalt de reactie op een prikkelende stof, gemeten aan de hand van de FEV1. De drempel is de histamineconcentratie waarbij een FEV1 daling optreedt van tenminste 20%. De histamineprovocatietest is positief indien deze drempel lager is dan 8mg/ml. De test kan ook met metacholine uitgevoerd worden.";"EK";NA;"";NA;NA;NA;1;"22 - negatief/positief";NA;"long";NA;"Beide";"functie onderzoek";NA
1690;"HIDR";"RL";"";"histaminedrempel (histam.provocatietest)";"histmdrem";"B";"";"D";"FO";"2";7;37;NA;"De histaminedrempel wordt bepaald in het kader van de histamineprovocatietest. De drempel is de histamineconcentratie waarbij een FEV1 daling optreedt van tenminste 20%. De histamineprovocatietest is positief indien deze drempel lager is dan 8mg/ml. Gebruik voor het vastleggen van de uitslag in positief en negatief bepaling HIME RL, Histamine/metacholine provocatietest, 4038.";"NM";0;"mg/ml";0;300;8;NA;"";NA;"long";NA;"Beide";"functie onderzoek";NA
1928;"HISI";"B";"";"Histonen antistoffen (anti histon)";"Histo as";"B";"ENAI";"L";"IM";"4";7;20;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"bloed";NA;"Beide";"immunologie/serologie";NA
464;"HIVI";"B";"MT";"HIV antistoffen (1+2)";"HIV as";"A";"";"L";"IM";"1";1;20;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"bloed";"meting: totaal";"Aanvraag";"immunologie/serologie";NA
4129;"HICA";"B";"";"HIV combo Ag.";"HIVcmbAg";"B";"";"L";"IM";"3";42;NA;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"bloed";NA;"Beide";"immunologie/serologie";NA
4131;"HICA";"B";"KW";"HIV combo Ag. kwantitatief";"HIVcmAgkw";"B";"";"L";"IM";"3";42;NA;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"bloed";"kwantitatief";"Beide";"immunologie/serologie";NA
4130;"HICG";"B";"";"HIV combo antistoffen";"HIVcmbas";"B";"";"L";"IM";"3";42;NA;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"bloed";NA;"Beide";"immunologie/serologie";NA
4132;"HICI";"B";"KW";"HIV combo antistoffen kwantitatief";"HIVcmaskw";"B";"";"L";"IM";"3";42;NA;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"bloed";"kwantitatief";"Beide";"immunologie/serologie";NA
463;"HIVC";"B";"";"HIV confirmation test";"HIVconfrm";"U";"HIVI";"L";"IM";"U";1;9;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"bloed";NA;"Uitslag";"immunologie/serologie";NA
460;"HICI";"B";"";"HIV core-Ag. antistoffen";"HIV-c as";"B";"";"L";"IM";"4";1;38;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"bloed";NA;"Beide";"immunologie/serologie";NA
461;"HIEI";"B";"";"HIV env.-Ag. antistoffen";"HIV-e as";"B";"";"L";"IM";"4";1;38;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"bloed";NA;"Beide";"immunologie/serologie";NA
454;"HI1A";"B";"";"HIV-1 Ag.";"HIV1 Ag";"B";"";"L";"IM";"3";1;38;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"bloed";NA;"Beide";"immunologie/serologie";NA
455;"HI1I";"B";"";"HIV-1 antistoffen";"HIV1 as";"U";"HIVI";"L";"IM";"U";1;20;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"bloed";NA;"Uitslag";"immunologie/serologie";NA
2760;"HIP1";"B";"KW";"HIV-1 RNA kwantitatief (PCR)";"HIV1RNAkw";"B";"";"L";"IM";"4";13;NA;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"bloed";"kwantitatief";"Beide";"immunologie/serologie";NA
2417;"HIVM";"B";"MT";"HIV-1-2 antistoffen p24 Ag. combo";"HIVcombo";"B";"";"L";"IM";"2";10;38;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"bloed";"meting: totaal";"Beide";"immunologie/serologie";NA
456;"HI2A";"B";"";"HIV-2 Ag.";"HIV2 Ag";"B";"";"L";"IM";"3";1;38;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"bloed";NA;"Beide";"immunologie/serologie";NA
457;"HI2I";"B";"";"HIV-2 antistoffen";"HIV2 as";"U";"HIVI";"L";"IM";"U";1;20;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"bloed";NA;"Uitslag";"immunologie/serologie";NA
1917;"HIVP";"B";"";"HIV-p24 Ag.";"HIVp24Ag";"B";"";"L";"IM";"3";7;38;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"bloed";NA;"Beide";"immunologie/serologie";NA
465;"HL27";"B";"";"HLA-B27";"HLAB27";"B";"";"L";"IM";"1";1;NA;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"bloed";NA;"Beide";"immunologie/serologie";NA
466;"HL7C";"B";"";"HLA-B27 confirmation test";"HLAconfrm";"U";"HL27";"L";"IM";"U";5;9;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"bloed";NA;"Uitslag";"immunologie/serologie";NA
3997;"HLD2";"B";"";"HLA-DQ2 gen-typering (coeliakie)";"HLA-DQ2";"B";"";"L";"DD";"3";32;NA;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"bloed";NA;"Beide";"DNA diagnostiek";NA
4099;"MLDT";"B";"";"HLA-DQ2.2 typering (coeliakie)";"HLA-DQ2.2";"B";"";"L";"KC";"4";40;NA;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"bloed";NA;"Beide";"klinische chemie";NA
4100;"HLDV";"B";"";"HLA-DQ2.5 typering (coeliakie)";"HLA-DQ2.5";"B";"";"L";"KC";"4";40;NA;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"bloed";NA;"Beide";"klinische chemie";NA
3998;"HLD8";"B";"QQ";"HLA-DQ8 gen-typering (coeliakie)";"HLA-DQ8";"B";"";"L";"DD";"3";32;NA;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"bloed";"overig";"Beide";"DNA diagnostiek";NA
3345;"CAC1";"RQ";"";"hoe is het vandaag met je astma (C-ACT1)";"";"B";"";"P";"AA";"4";19;NA;NA;"Hoe is het vandaag met je astma? 0 = heel erg 1 = erg 2 = goed 3 = heel goed Dit is vraag 1 uit de Childhood Asthma Control Test (C-ATC) voor kinderen van 4 tot 11 jaar.";"NM";0;"";0;3;NA;NA;"";NA;"luchtwegen, anamnese/plan";NA;"Beide";"anamnese";NA
3351;"CAC7";"RQ";"";"hoe vaak 's nachts wakker (C-ACT7)";"";"B";"";"P";"AA";"4";19;NA;NA;"Beantwoord als ouder de volgende vraag: Hoevaak werd uw kind de afgelopen 4 weken 's nachts wakker door de astma? 5 = Helemaal niet 4 = 1-3 nachten 3 = 4-10 nachten 2 = 11-18 nachten 1 = 19-24 nachten 0 = Elke nacht Dit is vraag 7 uit de Childhood Asthma Control Test (C-ATC) voor kinderen van 4 tot 11 jaar.";"NM";0;"";0;5;NA;NA;"";NA;"luchtwegen, anamnese/plan";NA;"Beide";"anamnese";NA
2379;"CCQ3";"RQ";"";"hoe vaak angst benauwdheidsaanval(CCQ3)";"";"B";"";"P";"AA";"4";10;11;NA;"Hoe vaak voelde u zich de afgelopen week angstig/bezorgd voor de volgende benauwdheidsaanval? Score op een schaal van 0 tot 6: 0 = nooit 1 = zelden 2 = af en toe 3 = regelmatig 4 = heel vaak 5 = meestal 6 = altijd Dit is vraag 3 uit de COPD vragenlijst naar klachten en beperkingen t.g.v. COPD (CCQ, copyright T. van der Molen, Huisartsgeneeskunde, Universiteit Groningen).";"NM";0;"";0;6;NA;NA;"";NA;"luchtwegen, anamnese/plan";NA;"Beide";"anamnese";NA
2418;"5SH1";"PQ";"";"hoe vaak drinken van alcohol (FiveShot1)";"";"B";"";"P";"AA";"4";11;NA;NA;"Vraag 1 uit Five-Shot-vragenlijst: Hoe vaak drinkt u alcoholische dranken?";"EK";NA;"";NA;NA;NA;NA;"104 - fiveshot vraag 1";NA;"psychische problemen, anamnese/plan";NA;"Beide";"anamnese";NA
3552;"ACT3";"RQ";"";"hoe vaak eerder wakker door klacht(ACT3)";"";"B";"";"P";"AA";"4";21;NA;NA;"Hoe vaak in de afgelopen 4 weken bent u 's nachts of 's morgens vroeger dan gewoonlijk wakker geworden door uw astma klachten (piepen, hoesten, kortademigheid, een beklemmend gevoel of pijn op de borst)? 1 = 4 of meer nachten per week 2 = 2 tot 3 nachten per week 3 = eenmaal per week 4 = een- of tweemaal 5 = helemaal niet Dit is vraag 3 uit de Asthma Control Test (ATC) voor astmapatiënten vanaf 12 jaar.";"NM";0;"";1;5;NA;NA;"";NA;"luchtwegen, anamnese/plan";NA;"Beide";"anamnese";NA
2381;"CCQ5";"RQ";"";"hoe vaak gehoest (CCQ5)";"";"B";"";"P";"AA";"4";10;11;NA;"Hoe vaak heeft u in de afgelopen week gehoest? Score op een schaal van 0 tot 6: 0 = nooit 1 = zelden 2 = af en toe 3 = regelmatig 4 = heel vaak 5 = meestal 6 = altijd Dit is vraag 5 uit de COPD vragenlijst naar klachten en beperkingen t.g.v. COPD (CCQ, copyright T. van der Molen, Huisartsgeneeskunde, Universiteit Groningen).";"NM";0;"";0;6;NA;NA;"";NA;"luchtwegen, anamnese/plan";NA;"Beide";"anamnese";NA
3553;"ACT4";"RQ";"";"hoe vaak inhalator (snelwerkend) (ACT4)";"";"B";"";"P";"AA";"4";21;NA;NA;"Hoe vaak in de afgelopen 4 weken heeft u uw inhalator (pufjes) met snelwerkende medicatie gebruikt? 1 = 3 keer of meer per dag 2 = 1 of 2 keer per dag 3 = 2 of 3 keer per week 4 = eenmaal per week of minderl 5 = helemaal niet Dit is vraag 4 uit de Asthma Control Test (ATC) voor astmapatiënten vanaf 12 jaar.";"NM";0;"";1;5;NA;NA;"";NA;"luchtwegen, anamnese/plan";NA;"Beide";"anamnese";NA
2378;"CCQ2";"RQ";"";"hoe vaak kortademig bij inspanning(CCQ2)";"";"B";"";"P";"AA";"4";10;11;NA;"Hoe vaak voelde u zich de afgelopen week kortademig gedurende lichamelijke inspanning? Score op een schaal van 0 tot 6: 0 = nooit 1 = zelden 2 = af en toe 3 = regelmatig 4 = heel vaak 5 = meestal 6 = altijd Dit is vraag 2 uit de COPD vragenlijst naar klachten en beperkingen t.g.v. COPD (CCQ, copyright T. van der Molen, Huisartsgeneeskunde, Universiteit Groningen).";"NM";0;"";0;6;NA;NA;"";NA;"luchtwegen, anamnese/plan";NA;"Beide";"anamnese";NA
3551;"ACT2";"RQ";"";"hoe vaak kortademig geweest (ACT2)";"";"B";"";"P";"AA";"4";21;NA;NA;"Hoe vaak in de afgelopen 4 weken bent u kortademig geweest? 1 = meer dan eenmaal per dag 2 = eenmaal per dag 3 = 3 tot 6 keer per week 4 = een- of tweemaal per week 5 = helemaal niet Dit is vraag 2 uit de Asthma Control Test (ATC) voor astmapatiënten vanaf 12 jaar.";"NM";0;"";1;5;NA;NA;"";NA;"luchtwegen, anamnese/plan";NA;"Beide";"anamnese";NA
2377;"CCQ1";"RQ";"";"hoe vaak kortademig in rust (CCQ1)";"";"B";"";"P";"AA";"4";10;11;NA;"Hoe vaak voelde u zich de afgelopen week kortademig in rust? Score op een schaal van 0 tot 6: 0 = nooit 1 = zelden 2 = af en toe 3 = regelmatig 4 = heel vaak 5 = meestal 6 = altijd Dit is vraag 1 uit de COPD vragenlijst naar klachten en beperkingen t.g.v. COPD (CCQ, copyright T. van der Molen, Huisartsgeneeskunde, Universiteit Groningen).";"NM";0;"";0;6;NA;NA;"";NA;"luchtwegen, anamnese/plan";NA;"Beide";"anamnese";NA
3718;"ZLC2";"RQ";"";"hoe vaak lusteloosheid (ZiektelmCOPD-12)";"";"B";"";"P";"AA";"4";25;NA;NA;"Dit is vraag 12 uit de ziektelastmeter COPD van de universiteit van Maastricht en de Long Alliantie Nederland. Hoe vaak had u de afgelopen week last van lusteloosheid? Score op een schaal van 0 tot 6: 0 = nooit 1 = zelden 2 = af en toe 3 = regelmatig 4 = heel vaak 5 = meestal 6 = altijd";"NM";0;"";0;6;NA;NA;"";NA;"luchtwegen, anamnese/plan";NA;"Beide";"anamnese";NA
3550;"ACT1";"RQ";"";"hoe vaak minder kunnen doen (ACT1)";"";"B";"";"P";"AA";"4";21;NA;NA;"Hoe vaak in de afgelopen 4 weken heeft u door uw astma op het werk, op school/de universiteit of thuis minder kunnen doen dan normaal? 1 = de hele tijd 2 = meestal 3 = soms 4 = zelden 5 = nooit Dit is vraag 1 uit de Asthma Control Test (ATC) voor astmapatiënten vanaf 12 jaar.";"NM";0;"";1;5;NA;NA;"";NA;"luchtwegen, anamnese/plan";NA;"Beide";"anamnese";NA
2380;"CCQ4";"RQ";"";"hoe vaak neerslachtig door ademh. (CCQ4)";"";"B";"";"P";"AA";"4";10;11;NA;"Hoe vaak voelde u zich de afgelopen week neerslachtig vanwege uw ademhalingsproblemen? Score op een schaal van 0 tot 6: 0 = nooit 1 = zelden 2 = af en toe 3 = regelmatig 4 = heel vaak 5 = meestal 6 = altijd Dit is vraag 4 uit de COPD vragenlijst naar klachten en beperkingen t.g.v. COPD (CCQ, copyright T. van der Molen, Huisartsgeneeskunde, Universiteit Groningen).";"NM";0;"";0;6;NA;NA;"";NA;"luchtwegen, anamnese/plan";NA;"Beide";"anamnese";NA
3349;"CAC5";"RQ";"";"hoe vaak overdag astmaklachten (C-ACT5)";"";"B";"";"P";"AA";"4";19;NA;NA;"Beantwoord als ouder de volgende vraag: Hoeveel dagen had uw kind de afgelopen 4 weken overdag astmaklachten? 5 = Helemaal niet 4 = 1-3 dagen 3 = 4-10 dagen 2 = 11-18 dagen 1 = 19-24 dagen 0 = Elke dag Dit is vraag 5 uit de Childhood Asthma Control Test (C-ATC) voor kinderen van 4 tot 11 jaar.";"NM";0;"";0;5;NA;NA;"";NA;"luchtwegen, anamnese/plan";NA;"Beide";"anamnese";NA
3350;"CAC6";"RQ";"";"hoe vaak overdag piepende ademh (C-ACT6)";"";"B";"";"P";"AA";"4";19;NA;NA;"Beantwoord als ouder de volgende vraag: Hoeveel dagen had uw kind de afgelopen 4 weken overdag last van piepende ademhaling door de astma? 5 = Helemaal niet 4 = 1-3 dagen 3 = 4-10 dagen 2 = 11-18 dagen 1 = 19-24 dagen 0 = Elke dag Dit is vraag 6 uit de Childhood Asthma Control Test (C-ATC) voor kinderen van 4 tot 11 jaar.";"NM";0;"";0;5;NA;NA;"";NA;"luchtwegen, anamnese/plan";NA;"Beide";"anamnese";NA
3717;"ZLC1";"RQ";"";"hoe vaak piekeren (ZiektelastmCOPD-11)";"";"B";"";"P";"AA";"4";25;NA;NA;"Dit is vraag 11 uit de ziektelastmeter COPD van de universiteit van Maastricht en de Long Alliantie Nederland. Hoe vaak had u de afgelopen week last van piekeren? Score op een schaal van 0 tot 6: 0 = nooit 1 = zelden 2 = af en toe 3 = regelmatig 4 = heel vaak 5 = meestal 6 = altijd";"NM";0;"";0;6;NA;NA;"";NA;"luchtwegen, anamnese/plan";NA;"Beide";"anamnese";NA
3342;"ACQ5";"RQ";"";"hoe vaak piepende ademhaling (ACQ5)";"";"B";"";"P";"AA";"4";19;NA;NA;"Hoe vaak had u in de afgelopen week over het algemeen een piepende ademhaling? 0 = nooit 1 = zelden 2 = af en toe 3 = geregeld 4 = vaak 5 = meestal 6 = altijd. Dit is vraag 5 uit de Asthma Control Questionniare (ACQ, copyright Elizabeth Juniper, Bosham, West Sussex, UK).";"NM";0;"";0;6;NA;NA;"";NA;"luchtwegen, anamnese/plan";NA;"Beide";"anamnese";NA
2382;"CCQ6";"RQ";"";"hoe vaak slijm opgehoest (CCQ6)";"";"B";"";"P";"AA";"4";10;11;NA;"Hoe vaak heeft u in de afgelopen week slijm opgehoest? Score op een schaal van 0 tot 6: 0 = nooit 1 = zelden 2 = af en toe 3 = regelmatig 4 = heel vaak 5 = meestal 6 = altijd Dit is vraag 6 uit de COPD vragenlijst naar klachten en beperkingen t.g.v. COPD (CCQ, copyright T. van der Molen, Huisartsgeneeskunde, Universieteit Groningen).";"NM";0;"";0;6;NA;NA;"";NA;"luchtwegen, anamnese/plan";NA;"Beide";"anamnese";NA
3719;"ZLC3";"RQ";"";"hoe vaak spanningen (ZiektelastmCOPD-13)";"";"B";"";"P";"AA";"4";25;NA;NA;"Dit is vraag 13 uit de ziektelastmeter COPD van de universiteit van Maastricht en de Long Alliantie Nederland. Hoe vaak had u de afgelopen week last van spanningen? Score op een schaal van 0 tot 6: 0 = nooit 1 = zelden 2 = af en toe 3 = regelmatig 4 = heel vaak 5 = meestal 6 = altijd";"NM";0;"";0;6;NA;NA;"";NA;"luchtwegen, anamnese/plan";NA;"Beide";"anamnese";NA
3720;"ZLC4";"RQ";"";"hoe vaak vermoeidheid (ZiektelmCOPD-14)";"";"B";"";"P";"AA";"4";25;NA;NA;"Dit is vraag 14 uit de ziektelastmeter COPD van de universiteit van Maastricht en de Long Alliantie Nederland. Hoe vaak had u de afgelopen week last van vermoeidheid? Score op een schaal van 0 tot 6: 0 = nooit 1 = zelden 2 = af en toe 3 = regelmatig 4 = heel vaak 5 = meestal 6 = altijd";"NM";0;"";0;6;NA;NA;"";NA;"luchtwegen, anamnese/plan";NA;"Beide";"anamnese";NA
3338;"ACQ1";"RQ";"";"hoe vaak wakker door astma (ACQ1)";"";"B";"";"P";"AA";"4";19;NA;NA;"Hoe vaak bent u per nacht gemiddeld wakker geworden door uw Astma in de afgelopen week? 0 = nooit 1 = bijna nooit 2 = een paar keer 3 = verscheidene keren 4 = vaak 5 = heel vaak 6 = kon niet slapen vanwege astma. Dit is vraag 1 uit de Asthma Control Questionniare (ACQ, copyright Elizabeth Juniper, Bosham, West Sussex, UK).";"NM";0;"";0;6;NA;NA;"";NA;"luchtwegen, anamnese/plan";NA;"Beide";"anamnese";NA
1692;"HOES";"RQ";"";"hoesten (astma/COPD)";"";"B";"";"P";"AA";"4";7;NA;NA;"Heeft de patiënt last van hoesten?";"EK";NA;"";NA;NA;NA;1;"21 - nee/ja";NA;"luchtwegen, anamnese/plan";NA;"Beide";"anamnese";NA
3346;"CAC2";"RQ";"";"hoeveel last van astma bij sport(C-ACT2)";"";"B";"";"P";"AA";"4";19;NA;NA;"Hoe veel last heb je van je astma als je rent, traint of sport? 0 = Ik heb er veel last van, ik kan niet doen wat ik wil 1 = Ik heb er last van en ik vind het vervelend 2 = Ik heb er een beetje last van, maar het gaat wel 3 = Ik heb er geen last van Dit is vraag 2 uit de Childhood Asthma Control Test (C-ATC) voor kinderen van 4 tot 11 jaar.";"NM";0;"";0;3;NA;NA;"";NA;"luchtwegen, anamnese/plan";NA;"Beide";"anamnese";NA
3343;"ACQ6";"RQ";"";"hoeveel puffs/inhalaties gebruikt (ACQ6)";"";"B";"";"P";"AA";"4";19;NA;NA;"Hoe veel Puffs/inhalaties van een kortwerkend luchtwegverwijdend middel (bijv. ventolin,bricanyl, salbutamol of airomir) heeft u op de meeste dagen genomen in de afgelopen week? 0 = geen 1 = 1-2 puffs/inhalaties 2 = 3-4 puffs/inhalaties 3 = 5-8 puffs/inhalaties 4 = 9-12 puffs/inhalaties 5 = 13-16 puffs/inhalaties 6 = meer dan 16 puffs/inhalaties. Dit is vraag 6 uit de Asthma Control Questionniare (ACQ, copyright Elizabeth Juniper, Bosham, West Sussex, UK).";"NM";0;"";0;6;NA;NA;"";NA;"luchtwegen, anamnese/plan";NA;"Beide";"anamnese";NA
3279;"INCH";"UQ";"";"hoeveelheid urineverlies (Sandvik)";"hoevincon";"B";"";"D";"AA";"2";17;NA;NA;NA;"EK";NA;"";NA;NA;NA;NA;"149 - Sandvik hoeveelheid";NA;"urinewegen, anamnese/plan";NA;"Beide";"anamnese";NA
3921;"HFLI";"HA";"LI";"hoge Fletcher index 1000/2000/4000 Links";"hogFletLi";"B";"";"D";"FO";"2";29;NA;NA;"De hoge Fletcher index wordt berekend door het gemiddelde gehoorverlies te nemen van de metingen bij 1000, 2000 en 4000 Hz.";"NM";0;"dB";-10;100;NA;NA;"";NA;"oor/gehoor, algemeen";"links";"Beide";"functie onderzoek";NA
3922;"HFLI";"HA";"RE";"hoge Fletcher index 1000/2000/4000Rechts";"hogFletRe";"B";"";"D";"FO";"2";29;NA;NA;"De hoge Fletcher index wordt berekend door het gemiddelde gehoorverlies te nemen van de metingen bij 1000, 2000 en 4000 Hz.";"NM";0;"dB";-10;100;NA;NA;"";NA;"oor/gehoor, algemeen";"rechts";"Beide";"functie onderzoek";NA
4157;"HOMA";"B";"";"HOMA-IR schatting insuline resistentie";"HOMA-IR";"B";"";"L";"KC";"3";42;NA;NA;"Homeostatic Model Assessment for Insulin Resistance";"NM";2;"";NA;NA;NA;2,21;"";NA;"bloed";NA;"Beide";"klinische chemie";NA
470;"HOMC";"B";"";"homocysteïne";"homocyst";"B";"";"L";"KC";"3";4;NA;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"bloed";NA;"Beide";"klinische chemie";NA
1982;"HVA";"U";"";"homovanillinezuur (HVA) urine";"HVAurine";"B";"";"L";"KC";"4";7;NA;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"urine";NA;"Beide";"klinische chemie";NA
486;"HVA";"UE";"MT";"homovanillinezuur urine 24u";"HVA u24";"B";"";"L";"KC";"4";5;13;NA;NA;"";NA;"";NA;NA;NA;NA;"";NA;"urine 24 uurs";"meting: totaal";"Beide";"klinische chemie";NA
3981;"ADHB";"PZ";"";"hoofdbehandelaar ADHD";"HfdBehADH";"B";"";"D";"ZP";"2";32;NA;NA;"Leg met deze bepaling vast wie de hoofdbehandelaar is van de ADHD. Bij specialist denken we aan de kinderarts; als de specialist binnen een GGZ instelling werkt (psychiater) dan kiest u GGZ-instelling.";"EK";NA;"";NA;NA;NA;NA;"207 - huisarts/specialist/GGZInstel./OverigOnbek";NA;"psychische problemen, zorgproces";NA;"Beide";"zorgproces";NA
2406;"ASHB";"RZ";"";"hoofdbehandelaar astma";"hfdbehast";"B";"";"D";"ZP";"2";10;NA;NA;NA;"EK";NA;"";NA;NA;NA;NA;"34 - huisarts/specialist/over/onbek";NA;"luchtwegen, zorgproces";NA;"Beide";"zorgproces";NA
3451;"AFHB";"KZ";"";"hoofdbehandelaar atriumfibrilleren";"hfdbehAtr";"B";"";"D";"ZP";"2";20;NA;NA;NA;"EK";NA;"";NA;NA;NA;NA;"34 - huisarts/specialist/over/onbek";NA;"hartvaatstelsel, zorgproces";NA;"Beide";"zorgproces";NA
3353;"NFHB";"UZ";"";"hoofdbehandelaar chronische nierschade";"hfdbhnier";"B";"";"D";"ZP";"3";19;28;NA;NA;"EK";NA;"";NA;NA;NA;NA;"34 - huisarts/specialist/over/onbek";NA;"urinewegen, zorgproces";NA;"Beide";"zorgproces";NA
3870;"CZHB";"AZ";"";"hoofdbehandelaar chronische zorg";"HfdBhChrZ";"B";"";"D";"ZP";"2";27;40;NA;"Met een programma chronische zorg wordt bedoeld een gestructureerde aanpak van en aandacht voor het leven met een chronische aandoening, bijv. volgens de principes van ‘positieve gezondheid’. Het betreft een patiënt met hoge zorgzwaarte, waarbij ketenzorg (medisch gericht, multi-disciplinair) wordt vervangen door ‘chronische zorg’.";"EK";NA;"";NA;NA;NA;NA;"34 - huisarts/specialist/over/onbek";NA;"algemeen, zorgproces";NA;"Beide";"zorgproces";NA
2407;"COHB";"RZ";"";"hoofdbehandelaar COPD";"hfdbehCOP";"B";"";"D";"ZP";"2";10;NA;NA;NA;"EK";NA;"";NA;NA;NA;NA;"34 - huisarts/specialist/over/onbek";NA;"luchtwegen, zorgproces";NA;"Beide";"zorgproces";NA
3665;"CLHB";"KZ";"";"hoofdbehandelaar coronair lijden";"hfdbehCor";"B";"";"D";"ZP";"2";23;NA;NA;NA;"EK";NA;"";NA;NA;NA;NA;"34 - huisarts/specialist/over/onbek";NA;"hartvaatstelsel, zorgproces";NA;"Beide";"zorgproces";NA
2815;"CVHB";"KZ";"";"hoofdbehandelaar CVRM";"hfdbehCVR";"B";"";"D";"ZP";"2";14;NA;NA;NA;"EK";NA;"";NA;NA;NA;NA;"34 - huisarts/specialist/over/onbek";NA;"hartvaatstelsel, zorgproces";NA;"Beide";"zorgproces";NA
3884;"DEHB";"PZ";"";"hoofdbehandelaar dementie";"hfdbehdem";"B";"";"D";"ZP";"2";28;NA;NA;NA;"EK";NA;"";NA;NA;NA;NA;"34 - huisarts/specialist/over/onbek";NA;"psychische problemen, zorgproces";NA;"Beide";"zorgproces";NA
